2024-07-03 17:49:03.590 [restartedMain] INFO  [o.s.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5b328a6b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5cfaafbd, org.springframework.security.web.context.SecurityContextHolderFilter@70acb731, org.springframework.security.web.header.HeaderWriterFilter@e3d95b3, org.springframework.security.web.authentication.logout.LogoutFilter@3d8956b, com.redpig.security.filter.JwtAuthenticationTokenFilter@2c02c7d2, com.redpig.security.filter.LoginAuthenticationFilter@113a1c0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1c86275d, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4317df6d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4ebd125b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32dcf8d0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@21e556ef, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4733cb76, org.springframework.security.web.access.ExceptionTranslationFilter@5a393266, org.springframework.security.web.access.intercept.AuthorizationFilter@7590a30b]
2024-07-03 17:49:03.735 [restartedMain] INFO  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2024-07-03 17:49:03.788 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 9999 (http) with context path ''
2024-07-03 17:49:03.788 [restartedMain] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Starting Quartz Scheduler now
2024-07-03 17:49:04.361 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Freed 0 triggers from 'acquired' / 'blocked' state.
2024-07-03 17:49:04.638 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovering 0 jobs that were in-progress at the time of the last shut-down.
2024-07-03 17:49:04.638 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovery complete.
2024-07-03 17:49:04.732 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 'complete' triggers.
2024-07-03 17:49:04.843 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 stale fired job entries.
2024-07-03 17:49:05.074 [restartedMain] INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2024-07-03 17:49:32.453 [SpringApplicationShutdownHook] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Shutting down Quartz Scheduler
2024-07-03 18:16:41.215 [restartedMain] INFO  [o.s.boot.devtools.restart.ChangeableUrls] - The Class-Path manifest attribute in /Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xalan-2.7.2.jar referenced one or more files that do not exist: file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xercesImpl.jar,file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xml-apis.jar,file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/serializer.jar
2024-07-03 18:16:41.216 [restartedMain] INFO  [o.s.boot.devtools.restart.ChangeableUrls] - The Class-Path manifest attribute in /Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/serializer/2.7.2/serializer-2.7.2.jar referenced one or more files that do not exist: file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/serializer/2.7.2/xml-apis.jar
2024-07-03 18:16:41.216 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-07-03 18:16:41.216 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-07-03 18:16:42.241 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9999 (http)
2024-07-03 18:16:42.246 [restartedMain] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-07-03 18:16:42.246 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-07-03 18:16:42.280 [restartedMain] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-07-03 18:16:42.280 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1064 ms
2024-07-03 18:16:49.727 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Using db table-based data access locking (synchronization).
2024-07-03 18:16:49.731 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - JobStoreCMT initialized.
2024-07-03 18:16:50.688 [restartedMain] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-07-03 18:16:50.712 [restartedMain] INFO  [o.s.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@92ca902, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3eb063b0, org.springframework.security.web.context.SecurityContextHolderFilter@42129180, org.springframework.security.web.header.HeaderWriterFilter@16907629, org.springframework.security.web.authentication.logout.LogoutFilter@1ee928cf, com.redpig.security.filter.JwtAuthenticationTokenFilter@4ec27ab8, com.redpig.security.filter.LoginAuthenticationFilter@5c7fa99b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@c4a4e7e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3dc941d5, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@30777faf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@58f81878, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@32f0083d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@d6737f2, org.springframework.security.web.access.ExceptionTranslationFilter@6ec2f3b2, org.springframework.security.web.access.intercept.AuthorizationFilter@15560fef]
2024-07-03 18:16:50.881 [restartedMain] INFO  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2024-07-03 18:16:50.932 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 9999 (http) with context path ''
2024-07-03 18:16:50.932 [restartedMain] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Starting Quartz Scheduler now
2024-07-03 18:16:51.459 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Freed 0 triggers from 'acquired' / 'blocked' state.
2024-07-03 18:16:51.705 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovering 0 jobs that were in-progress at the time of the last shut-down.
2024-07-03 18:16:51.705 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovery complete.
